Nº da Medida,Ementa,Situação
"Medida Provisória nº 720, de 29.3.2016
Publicada no DOU de 30.3.2016
Exposição de motivos
Prorrogação de prazo","Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, relativo ao exercício de 2015, com o objetivo de fomentar as exportações do País.","Vigência encerrada
Ato Declaratório nº 41, de 2016"
"Medida provisória nº 719, de 29.3.2016
Publicada no DOU de 30.3.2016
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto de prestações em folha de pagamento; a Lei nº 12.712, de 30 de agosto de 2012, e a Lei nº 8.374, de 30 de dezembro de 1991, para dispor sobre o Seguro Obrigatório de Danos Pessoais causados por embarcações ou por sua carga; e a Lei nº 13.259, de 16 de março de 2016, para dispor sobre a dação em pagamento de bens imóveis como forma de extinção do crédito tributário inscrito em dívida ativa da União.","Convertida
Lei nº 13.313, de 2016"
"Medida Provisória nº 718, de 17.3.2016
Publicada no DOU de 17.3.2016 - Edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei no 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, para dispor sobre o controle de dopagem, a Lei no 12.780, de 9 de janeiro de 2013, que dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016, e dá outras providências.","Convertida
Lei nº 13.322, de 2016"
"Medida provisória nº 717, de 16.3.2016
Publicada no DOU de 16.3.2016 - Edição extra
Exposição de motivos
Prorrogação de prazo","Cria o cargo de Ministro de Estado Chefe do Gabinete Pessoal do Presidente da República, altera a Lei no 10.683, de 28 de maio de 2003, e dá outras providências.","Revogada
Medida Provisória nº 726, de 2016)"
"Medida Provisória nº 716, de 11.3.2016
Publicada no DOU de 14.3.2016
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Ciência, Tecnologia e Inovação, da Defesa e do Desenvolvimento Social e Combate à Fome, no valor de R$ 420.000.000,00, para os fins que especifica.","Convertida
Lei nº 13.310, de 2016"
"Medida Provisória nº 715, de 1º.3.2016
Publicada no DOU de 2.3.2016
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Agrário, no valor de R$ 316.230.970,00, para o fim que especifica.","Convertida
Lei nº 13.296, de 2016"
"Medida Provisória nº 714, de 1º.3.2016
Publicada no DOU de 2.3.2016
Exposição de motivos
Prorrogação de prazo","Extingue o Adicional de Tarifa Aeroportuária e altera a Lei nº 5.862, de 12 de dezembro de 1972, e a Lei nº 7.565, de 19 de dezembro de 1986.","Convertida
Lei nº 13.319, de 2016"
"Medida Provisória nº 713, de 1º.3.2016
Publicada no DOU de 2.3.2016
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 12.249, de 11 de junho de 2010, para dispor sobre o Imposto de Renda Retido na Fonte sobre a remessa de valores destinados à cobertura de gastos pessoais, no exterior, de pessoas físicas residentes no País, em viagens de turismo, negócios, serviços, treinamento ou missões oficiais, e dá outras providências.","Convertida
Lei nº 13.315, de 2016"
"Medida Provisória nº 712, de 29.1.2016
Publicada no DOU de 1º.2.2016
Exposição de motivos
Prorrogação de prazo","Dispõe sobre a adoção de medidas de vigilância em saúde quando verificada situação de iminente perigo à saúde pública pela presença do mosquito transmissor do Vírus da Dengue, do Vírus Chikungunya e do Zika Vírus.","Convertida
Lei nº 13.301, de 2016"
"Medida Provisória nº 711, de 18.1.2016
Publicada no DOU de 19.1.2016
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de diversos órgãos dos Poderes Legislativo e Judiciário, da Defensoria Pública da União e do Ministério Público da União, no valor de R$ 419.460.681,00, para os fins que especifica.","Vigência encerrada
Ato Declaratório nº 29, de 2016"
"Medida Provisória nº 710, de 4.1.2016
Publicada no DOU de 4.1.2016 - Edição extra
Exposição da motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Justiça, da Cultura, da Defesa, da Integração Nacional e do Turismo e de Encargos Financeiros da União, no valor de R$ 1.472.650.000,00, para os fins que especifica.","Convertida
Lei nº 13.268, de 2016"
"Medida provisória nº 709, de 30.12.2015
Publicada no DOU de 31.12.2015
Exposição da motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Agricultura, Pecuária e Abastecimento, da Saúde, da Cultura, do Esporte, da Defesa, da Integração Nacional e do Turismo, da Secretaria de Aviação Civil, da Secretaria de Portos e de Transferências a Estados, Distrito Federal e Municípios, no valor de R$ 1.318.639.330,00, para os fins que especifica.","Convertida
Lei nº 13.275, de 2016"
"Medida Provisória nº 708, de 30.12.2015
Publicada no DOU de 31.12.2015
Exposição da motivos
Prorrogação de prazo","Autoriza a União a reincorporar os trechos de rodovias federais transferidos aos Estados e ao Distrito Federal por força da Medida Provisória nº 82, de 7 de dezembro de 2002.","Convertida
Lei nº 13.298, de 2016"
"Medida Provisória nº 707, de 30.12.2015
Publicada no DOU de 31.12.2015
Exposição da motivos
Prorrogação de prazo","Altera a Lei nº  12.096, de 24 de novembro de 2009, e a Lei nº 12.844, de 19 de julho de 2013, para alterar os prazos que especifica.","Convertida
Lei nº 13.295, de 2016"
"Medida Provisória nº 706, de 28.12.2015
Publicada no DOU de 28.12.2015 - Edição extra
Exposição da motivos
Prorrogação de prazo","Altera a Lei no 12.783, de 11 de janeiro de 2013, que dispõe sobre as concessões de geração, transmissão e distribuição de energia elétrica.","Convertida
Lei nº 13.299, de 2016"
"Medida Provisória nº 705, de 23.12.2015
Publicada no DOU de 24.12.2015
Exposição da motivos
Prorrogação de prazo","Altera a Lei nº 12.722, de 3 de outubro de 2012, que dispõe sobre o apoio financeiro da União aos Municípios e ao Distrito Federal para ampliação da oferta da educação infantil.","Vigência encerrada
Ato Declaratório nº 28, de 2016"
"Medida provisória nº 704, de 23.12.2015
Publicada no DOU de 24.12.2015
Exposição da motivos
Prorrogação de prazo",Dispõe sobre fontes de recursos para cobertura de despesas primárias obrigatórias e para pagamento da Dívida Pública Federal.,"Rejeitada
Ato de 4 de maio de 2016"
"Medida provisória nº 703, de 18.12.2015
Publicada no DOU de 21.12.2015
Exposição da motivos
Prorrogação de prazo","Altera a Lei nº 12.846, de 1º de agosto de 2013, para dispor sobre acordos de leniência.","Vigência encerrada
Ato Declaratório nº 27, de 2016"
"Medida provisória nº 702, de 17.12.2015
Publicada no DOU de 18.12.2015
Exposição da motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Saúde, do Trabalho e Emprego e das Cidades e de Encargos Financeiros da União, no valor de R$ 37.579.334.525,00, para os fins que especifica.","Convertida
Lei nº 13.276, de 2016"
"Medida Provisória nº 701, de 8.12.2015
Publicada no DOU de 9.12.2015
Exposição da motivos
Prorrogação de prazo","Altera a Lei nº 6.704, de 26 de outubro de 1979, para dispor sobre o Seguro de Crédito à Exportação; a Lei nº 9.818, de 23 de agosto de 1999, e a Lei nº 11.281, de 20 de fevereiro de 2006, para dispor sobre o Fundo de Garantia à Exportação; a Lei nº 12.712, de 30 de agosto de 2012, para dispor sobre a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF; e o Decreto-Lei nº 857, de 11 de setembro de 1969, para dispor sobre a moeda de pagamento de obrigações exequíveis no Brasil.","Convertida
Lei nº 13.292, de 2016"
"Medida provisória nº 700, de 8.12.2015
Publicada no DOU de 9.12.2015
Exposição da motivos
Prorrogação de prazo","Altera o Decreto-Lei nº 3.365, de 21 de junho de 1941, que dispõe sobre desapropriações por utilidade pública, e a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos, e dá outras providências.","Vigência encerrada
Ato Declaratório nº 23, de 2016"
"Medida provisória nº 699, de 10.11.2015
Publicada no DOU de 11.11.2015
Exposição da motivos
Prorrogação de prazo","Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro.","Convertida
Lei nº 13.281, de 2016"
"Medida Provisória nº 698, de 23.10.2015
Publicada no DOU de 23.10.2015 - Edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 11.977, de 7 de julho de 2009, para dispor sobre operações de financiamento habitacional com desconto ao beneficiário concedido pelo Fundo de Garantia do Tempo de Serviço - FGTS para aquisição de imóveis no âmbito do Programa Minha Casa Minha Vida construídos com recursos do Fundo de Arrendamento Residencial - FAR.","Convertida
Lei nº 13.274, de 2016"
"Medida Provisória nº 697, de 8.10.2015
Publicada no DOU de 9.10.2015
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Justiça, das Relações Exteriores, dos Transportes, da Defesa e da Integração Nacional, no valor de R$ 950.246.149,00, para os fins que especifica.","Convertida
Lei nº 13.198, de 2015"
"Medida Provisória nº 696, de 2.10.2015
Publicada no DOU de 5.10.2015
Exposição de motivos
Prorrogação de prazo","Extingue e transforma cargos públicos e altera a Lei no 10.683, de 28 de maio de 2003, que dispõe sobre a organização da Presidência da República e dos Ministérios.","Convertida
Lei nº 13.266, de 2015"
"Medida provisória nº 695, de 2.10.2015
Publicada no DOU de 5.10.2015
Exposição de motivos
Prorrogação de prazo","Autoriza o Banco do Brasil S.A. e a Caixa Econômica Federal a adquirirem participação nos termos e condições previstos no art. 2o da Lei no 11.908, de 3 de março de 2009, e dá outras providências.","Convertida
Lei nº 13.262, de 2016"
"Medida Provisória nº 694, de 30.9.2015
Publicada no DOU de 30.9.2015 - edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 9.249, de 26 de dezembro de 1995, para dispor sobre o imposto sobre a renda incidente sobre juros de capital próprio, a Lei nº 10.865, de 30 de abril de 2004, e a Lei nº 11.196, de 21 de novembro de 2005, para dispor sobre os benefícios fiscais do Regime Especial da Indústria Química e para suspender, no ano-calendário de 2016, os benefícios fiscais de que tratam os arts. 19, 19-A e 26 desta Lei.","Vigência encerrada
Ato Declaratório nº 005, de 2016"
"Medida Provisória nº 693, de 30.9.2015
Publicada no DOU de 30.9.2015 - edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 12.780, de 9 de janeiro de 2013, que dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016, e altera a Lei nº 10.593, de 6 de dezembro de 2002, para dispor sobre o porte de arma de fogo institucional pelos servidores integrantes da Carreira de Auditoria da Receita Federal do Brasil.","Convertida
Lei nº 13.265, de 2016"
"Medida Provisória nº 692, de 22.9.2015
Publicada no DOU de 22.9.2015 - edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 8.981, de 20 de janeiro de 1995, para dispor acerca da incidência de imposto sobre a renda na hipótese de ganho de capital em decorrência da alienação de bens e direitos de qualquer natureza, e a Medida Provisória nº 685, de 21 de julho de 2015, que institui o Programa de Redução de Litígios Tributários – PRORELIT.","Convertida
Lei nº 13.259, de 2016"
"Medida Provisória nº 691, de 31.8.2015
Publicada no DOU de 31.8.2015 - edição extra
Exposição de motivos
Prorrogação de prazo","Dispõe sobre a administração, a alienação, a transferência de gestão de imóveis da União e seu uso para a constituição de fundos.","Convertida
Lei nº 13.240, de 2015"
"Medida Provisória nº 690, de 31.8.2015
Publicada no DOU de 31.8.2015 - edição extra
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a incidência do Imposto sobre Produtos Industrializados - IPI sobre as bebidas classificadas nas posições 22.04, 22.05, 22.06 e 22.08, exceto o código 2208.90.00 Ex 01, da Tabela de Incidência do Imposto sobre Produtos Industrializados - TIPI, aprovada pelo Decreto nº 7.660, de 23 de dezembro de 2011, altera a Lei nº 9.430, de 27 de dezembro de 1996, quanto à legislação do Imposto sobre a Renda de Pessoa Jurídica, e revoga os arts. 28 a 30 da Lei nº 11.196, de 21 de novembro de 2005, que dispõem sobre o Programa de Inclusão Digital.","Convertida
Lei nº 13.241, de 2015"
"Medida Provisória nº 689, de 31.8.2015
Publicada no DOU de 31.8.2015 - edição extra
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 8.112, de 11 de dezembro de 1990.","Vigência encerrada
Ato Declaratório nº 001, de 2016"
"Medida provisória nº 688, de 18.8.2015
Publicada no DOU de 18.8.2015 - edição extra
Exposição de motivos
Prorrogação de prazo","Dispõe sobre a repactuação do risco hidrológico de geração de energia elétrica, institui a bonificação pela outorga e altera a Lei no 10.848, de 15 de março de 2004, que dispõe sobre a comercialização de energia elétrica, a Lei no 12.783, 11 de janeiro de 2013, que dispõe sobre as concessões de energia elétrica, e a Lei no 9.478, de 6 de agosto de 1997, que institui o Conselho Nacional de Política Energética.","Convertida
Lei nº 13.203, de 2015"
"Medida Provisória nº 687, de 17.8.2015
Publicada no DOU de 18.8.2015
Exposição de motivos
Prorrogação de prazo","Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para dispor sobre a Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional - Condecine, e a Lei nº 12.529, de 30 de novembro de 2011, para dispor sobre as taxas processuais sobre os processos de competência do Conselho Administrativo de Defesa Econômica - Cade, e autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas e dos preços estabelecidos pela Lei nº 6.938, de 31 de agosto de 1981.","Convertida
Lei nº 13.196, de 2015"
"Medida Provisória nº 686, de 30.7.2015
Publicada no DOU de 31.7.2015
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério da Educação, de Encargos Financeiros da União e de Operações Oficiais de Crédito, no valor de R$ 9.820.639.868,00, para os fins que especifica, e dá outras providências.","Convertida
Lei nº 13.181, de 2015"
"Medida Provisória nº 685, de 21.7.2015
Publicada no DOU de 22.7.2015
Exposição de Motivos
Prorrogação de prazo","Institui o Programa de Redução de Litígios Tributários - PRORELIT, cria a obrigação de informar à administração tributária federal as operações e atos ou negócios jurídicos que acarretem supressão, redução ou diferimento de tributo e autoriza o Poder Executivo federal a atualizar monetariamente o valor das taxas que indica.","Convertida
Lei nº 13.202, de 2015"
"Medida Provisória nº 684, de 21.7.2015
Publicada no DOU de 22.7.2015
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 13.019, de 31 de julho de 2014, que estabelece o regime jurídico das parcerias voluntárias, envolvendo ou não transferências de recursos financeiros, entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público; define diretrizes para a política de fomento e de colaboração com organizações da sociedade civil; institui o termo de colaboração e o termo de fomento; e altera as Leis nos 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999.","Convertida
Lei nº 13.204, de 2015"
"Medida Provisória nº 683, de 13.7.2015
Publicada no DOU de 14.7.2015
Exposição de Motivos
Prorrogação de prazo","Institui o Fundo de Desenvolvimento Regional e Infraestrutura e o Fundo de Auxílio à Convergência das Alíquotas do Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação - ICMS, com a finalidade de facilitar o comércio interestadual e estimular o investimento produtivo e o desenvolvimento regional.","Vigência encerrada
Ato Declaratório nº 041, de 2015"
"Medida Provisória nº 682, de 10.7.2015
Publicada no DOU de 13.7.2015
Exposição de Motivos
Prorrogação de prazo","Altera a Lei no 12.712, de 30 de agosto de 2012, para estabelecer que a Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A. - ABGF ficará encarregada da gestão do Fundo de Estabilidade do Seguro Rural - FESR até a completa liquidação das obrigações deste Fundo.","Convertida
Lei nº 13.195, de 2015"
"Medida Provisória nº 681, de 10.7.2015
Publicada no DOU de 13.7.2015
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 10.820, de 17 de dezembro de 2003, a Lei nº 8.213, de 24 de julho de 1991, e a Lei nº 8.112, de 11 de dezembro de 1990, para dispor sobre desconto em folha de valores destinados ao pagamento de cartão de crédito.","Convertida
Lei nº 13.172, de 2015"
"Medida Provisória nº 680, de 6.7.2015
Publicada no DOU de 7.7.2015
Exposição de Motivos
Prorrogação de prazo",Institui o Programa de Proteção ao Emprego e dá outras providências.Institui o Programa de Proteção ao Emprego e dá outras providências.,"Convertida
Lei nº 13.189, de 2015"
"Medida Provisória nº 679, de 23.6.2015
Publicada no DOU de 24.6.2015
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre autorização para a realização de obras e serviços necessários ao fornecimento de energia elétrica temporária para os Jogos Olímpicos e Paraolímpicos de 2016, de que trata a Lei no 12.035, de 1o de outubro de 2009, e altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa Minha Vida e sobre a regularização fundiária de assentamentos localizados em áreas urbanas, a Lei nº 12.035, de 2009, que institui o Ato Olímpico, e a Lei nº 11.473, de 10 de maio de 2007, que dispõe sobre cooperação federativa no âmbito da segurança pública.","Convertida
Lei nº 13.173, de 2015"
"Medida Provisória nº 678, de 23.6.2015
Publicada no DOU de 24.6.2015
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas.","Convertida
Lei nº 13.190, de 2015"
"Medida Provisória nº 677, de 22.6.2015
Publicada no DOU de 23.6.2015
Exposição de Motivos
Prorrogação de prazo","Autoriza a Companhia Hidro Elétrica do São Francisco a participar do Fundo de Energia do Nordeste, com o objetivo de prover recursos para a implementação de empreendimentos de energia elétrica, e altera a Lei nº 11.943, de 28 de maio de 2009, e a Lei nº 10.848, de 15 de março de 2004.","Convertida
Lei nº 13.182, de 2015"
"Medida Provisória nº 676, de 17.6.2015
Publicada no DOU de 18.6.2015
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social.","Convertida
Lei nº 13.183, de 2015"
"Medida Provisória nº 675, de 21.5.2015
Publicada no DOU de 22.5.2015
Exposição de Motivos
Prorrogação de prazo","Altera a Lei nº 7.689, de 15 de dezembro de 1988, para elevar a alíquota da Contribuição Social sobre o Lucro Líquido - CSLL em relação às pessoas jurídicas de seguros privados e de capitalização e às referidas nos incisos I a VII, IX e X do § 1º do art. 1º da Lei Complementar nº 105, de 10 de janeiro de 2001.","Convertida
Lei nº 13.169, de 2015"
"Medida Provisória nº 674, de 19.3.2015
Publicada no DOU de 20.5.2015
Exposição de Motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios do Desenvolvimento Agrário, da Defesa e da Integração Nacional, no valor de R$ 904.756.882,00, para os fins que especifica.","Convertida
Lei nº 13.164, de 2015"
"Medida Provisória nº 673, de 31.3.2015
Publicada no DOU de 1º.4.2015
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro, e dá outras providências.","Convertida
Lei nº 13.154, de 2015"
"Medida Provisória nº 672, de 24.3.2015
Publicada no DOU de 25.3.2015
Exposição de motivos
Prorrogação de prazo",Dispõe sobre a política de valorização do salário mínimo para o período de 2016 a 2019.,"Convertida
Lei nº 13.152, de 2015"
"Medida Provisória nº 671, de 19.3.2015
Publicada no DOU de 20.3.2015
Exposição de Motivos
Prorrogação de prazo","Institui o Programa de Modernização da Gestão e de Responsabilidade Fiscal do Futebol Brasileiro, dispõe sobre a gestão temerária no âmbito das entidades desportivas profissionais, e dá outras providências.","Convertida
Lei nº 13.155, de 2015"
"Medida Provisória nº 670, de 10.3.2015
Publicada no DOU de 11.3.2015
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 11.482, de 31 de maio de 2007, para dispor sobre os valores da tabela mensal do Imposto sobre a Renda da Pessoa Física; a Lei nº 7.713, de 22 de dezembro de 1988; e a Lei nº 9.250, de 26 de dezembro de 1995.","Convertida
Lei nº 13.149, de 2015"
"Medida Provisória nº 669, de 26.2.2015
Publicada no DOU de 27.2.2015
Exposição de Motivos","Altera a Lei nº 12.546, de 14 de dezembro de 2011, quanto à contribuição previdenciária sobre a receita bruta; a Lei nº 12.469, de 26 de agosto de 2011, a Lei nº 12.995, de 18 de junho de 2014, e a Lei nº 11.196, de 21 de novembro de 2005, quanto à tributação de bebidas frias; e a Lei nº 12.780, de 9 de janeiro de 2013, que dispõe sobre medidas tributárias referentes à realização, no Brasil, dos Jogos Olímpicos de 2016 e dos Jogos Paraolímpicos de 2016.","Revogada
Medida Provisória nº 671, de 2015Ato Declaratório nº 05, de 2015"
"Medida Provisória nº 668, de 30.1.2015
Publicada no DOU de 30.1.2015 - Edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/PASEP-Importação e da COFINS-Importação, e dá outras providências.","Convertida
Lei nº 13.137, de 2015"
"Medida Provisória nº 667, de 2.1.2015
Publicada no DOU de 5.1.2015
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos órgãos e empresas estatais, constantes do Projeto de Lei Orçamentária de 2015, no valor de R$ 74.014.218.398,00, para os fins que especifica.","Vigência encerrada
Ato Declaratório nº 022, de 2015"
"Medida Provisória nº 1.068 de 6.9.2021
Publicada no DOU de 6.9.2021 - Edição extra
Exposição de Motivos","Altera a Lei nº 12.965, de 23 de abril de 2014, e a Lei nº 9.610, de 19 de fevereiro de 1998, para dispor sobre o uso de redes sociais.",Em Tramitação
"Medida Provisória nº 1.067 de 2.9.2021
Publicada no DOU de 3.9.2021
Exposição de Motivos","Altera a Lei nº 9.656, de 3 de junho de 1998, para dispor sobre o processo de atualização das coberturas no âmbito da saúde suplementar.",Em Tramitação
"Medida Provisória nº 1.066 de 2.9.2021
Publicada no DOU de 3.9.2021
Exposição de Motivos","Prorroga o prazo para recolhimento da Contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep, da Contribuição para o Financiamento da Seguridade Social e de contribuições previdenciárias, a pessoas jurídicas distribuidoras de energia elétrica.",Em Tramitação
"Medida Provisória nº 1.065 de 30.8.2021
Publicada no DOU de 30.8.2021 - Edição extrta
Exposição de Motivos","Dispõe sobre a exploração do serviço de transporte ferroviário, o trânsito e o transporte ferroviários e as atividades desempenhadas pelas administradoras ferroviárias e pelos operadores ferroviários independentes, institui o Programa de Autorizações Ferroviárias, e dá outras providências.",Em Tramitação
"Medida Provisória nº 1.064 de 17.8.2021
Publicada no DOU de 18.8.2021
Exposição de Motivos","Institui o Programa de Venda em Balcão, com o objetivo de promover o acesso do pequeno criador de animais ao estoque público de milho.",Em Tramitação
"Medida Provisória nº 1.063 de 11.8.2021
Publicada no DOU de 12.8.2021
Exposição de Motivos","Altera a Lei nº 9.478, de 6 de agosto de 1997, e a Lei nº 9.718, de 27 de novembro de 1998, para dispor sobre as operações de compra e venda de álcool, a comercialização de combustíveis por revendedor varejista e a incidência da Contribuição para o Programa de Integração Social e o Programa de Formação do Patrimônio do Servidor Público - PIS/Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins nas referidas operações.",Em Tramitação
"Medida Provisória nº 1.062 de 9.8.2021
Publicada no DOU de 10.8.2021
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 9.102.436.262,00, para os fins que especifica.",Em Tramitação
"Medida Provisória nº 1.061 de 9.8.2021
Publicada no DOU de 10.8.2021
Exposição de Motivos","Institui o Programa Auxílio Brasil e o Programa Alimenta Brasil, e dá outras providências.",Em Tramitação
"Medida Provisória nº 1.060 de 4.8.2021
Publicada no DOU de 4.8.2021 - Edição extra
Exposição de Motivos","Altera a Lei nº 14.172, de 10 de junho de 2021, que dispõe sobre a garantia de acesso à internet, com fins educacionais, a alunos e a professores da educação básica pública.",Em Tramitação
"Medida Provisória nº 1.059 de 30.7.2021
Publicada no DOU de 30.7.2021 - Edição extra
Exposição de Motivos","Altera a Lei nº 14.124, de 10 de março de 2021, que dispõe sobre as medidas excepcionais relativas à aquisição de vacinas e de insumos e à contratação de bens e serviços de logística, de tecnologia da informação e comunicação, de comunicação social e publicitária e de treinamentos destinados à vacinação contra a covid-19 e sobre o Plano Nacional de Operacionalização da Vacinação contra a Covid-19.",Em Tramitação
"Medida Provisória nº 1.058 de 27.7.2021
Publicada no DOU de 28.7.2021
Exposição de Motivos","Altera a Lei nº 13.844, de 18 de junho de 2019, para criar o Ministério do Trabalho e Previdência, e dá outras providências.",Em Tramitação
"Medida Provisória nº 1.057 de 6.7.2021
Publicada no DOU de 7.7.2021
Exposição de motivos",Institui o Programa de Estímulo ao Crédito e dispõe sobre o crédito presumido apurado com base em créditos decorrentes de diferenças temporárias.,Em Tramitação
"Medida Provisória nº 1.056 de 5.7.2021
Publicada no DOU de 6.7.2021
Exposição de motivos","Abre crédito extraordinário, em favor do Ministério da Cidadania, no valor de R$ 20.272.300.000,00, para o fim que especifica.",Em Tramitação
"Medida Provisória nº 1.055 de 28.6.2021
Publicada no DOU de 28.6.2021 - Edição extra
Exposição de motivos
Prorrogação de prazo","Institui a Câmara de Regras Excepcionais para Gestão Hidroenergética com o objetivo de estabelecer medidas emergenciais para a otimização do uso dos recursos hidroenergéticos e para o enfrentamento da atual situação de escassez hídrica, a fim de garantir a continuidade e a segurança do suprimento eletroenergético no País.",Em Tramitação
"Medida Provisória nº 1.054 de 8.6.2021
Publicada no DOU de 9.6.2021
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor dos Ministérios da Justiça e Segurança Pública, da Defesa e da Cidadania, no valor de R$ 235.348.850,00, para os fins que especifica.",Em Tramitação
"Medida Provisória nº 1.053 de 2.6.2021
Publicada no DOU de 4.6.2021 - Edição extra
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor de Encargos Financeiros da União, no valor de R$ 5.000.000.000,00, para o fim que especifica.",Em Tramitação
"Medida Provisória nº 1.052 de 19.5.2021
Publicada no DOU de 19.5.2021 - Edição extra
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 12.712, de 30 de agosto de 2012, a Lei nº 7.827, de 27 de setembro de 1989, a Lei nº 10.177, de 12 de janeiro de 2001, e a Lei nº 9.126, de 10 de novembro de 1995.",Em Tramitação
"Medida Provisória nº 1.051 de 18.5.2021
Publicada no DOU de 19.5.2021
Exposição de motivos
Prorrogação de prazo","Institui o Documento Eletrônico de Transporte e altera a Lei nº 11.442, de 5 de janeiro de 2007, a Lei nº 13.703, de 8 de agosto de 2018, a Lei nº 10.209, de 23 de março de 2001, e a Lei nº 5.474, de 18 de julho de 1968.",Em Tramitação
"Medida Provisória nº 1.050 de 18.5.2021
Publicada no DOU de 19.5.2021
Exposição de motivos
Prorrogação de prazo","Altera a Lei nº 7.408, de 25 de novembro de 1985, e a Lei nº 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro.",Em Tramitação
"Medida Provisória nº 1.049 de 14.5.2021
Publicada no DOU de 17.5.2021
Exposição de motivos
Prorrogação de prazo","Cria a Autoridade Nacional de Segurança Nuclear e altera a Lei nº 4.118, de 27 de agosto de 1962, a Lei nº 6.189, de 16 de dezembro de 1974, a Lei nº 8.691, de 28 de julho de 1993, a Lei nº 9.765, de 17 de dezembro de 1998, a Lei nº 6.453, de 17 de outubro de 1977, e a Lei nº 10.308, de 20 de novembro de 2001.",Em Tramitação
"Medida Provisória nº 1.048 de 10.5.2021
Publicada no DOU de 10.5.2021 - Edição extra
Exposição de motivos
Prorrogação de prazo","Abre crédito extraordinário, em favor do Ministério da Saúde, no valor de R$ 5.500.071.904,00, para os fins que especifica.",Em Tramitação
"Medida Provisória nº 1.047 de 03.5.2021
Publicada no DOU de 4.5.2021
Exposição de motivos
Prorrogação de prazo","Dispõe sobre as medidas excepcionais para a aquisição de bens e a contratação de serviços, inclusive de engenharia, e insumos destinados ao enfrentamento da pandemia da covid-19.",Em Tramitação
